id;annee;session;source_pdf;bloc_annale;sous_matiere_app;titre_cas;theme;sous_theme;enonce_resume;questions_resume;correction_resume;points_cles;pieges;priorite_provisoire;statut
CAS_2021_S2_PARA_001;2020-2021;S2;infectio 20-21 ses 2.pdf;Cas clinique à orientation parasitologique;Parasitologie-Mycologie;Accès palustre après retour du Burkina Faso;Paludisme;Plasmodium ovale, goutte épaisse, frottis sanguin, hypnozoïtes, récidive, prévention;Ingénieur agronome de 32 ans, retour du Burkina Faso, fièvre et frissons depuis 2 jours, suspicion d’accès palustre.;Délai de réponse frottis/goutte épaisse | principe, avantages et limites de la goutte épaisse | compatibilité de Plasmodium ovale avec Burkina Faso | indication d’hospitalisation | risque de récidive | conseils de prévention | possibilité de nouvel accès 6 mois après sans voyage;"Réponse attendue en 2h. Goutte épaisse = concentration et coloration au Giemsa, très sensible mais lecture difficile ; frottis sanguin utile pour identifier l’espèce. P. ovale est compatible avec l’Afrique de l’Ouest. Le résultat seul, avec 0,01% d’hématies parasitées, n’est pas un argument suffisant d’hospitalisation. Récidive possible par formes hépatiques persistantes/hypnozoïtes. Prévention : protection anti-moustiques, moustiquaire, chimioprophylaxie selon destination.";Paludisme = urgence diagnostique | frottis/goutte épaisse à obtenir rapidement | P. ovale présent en Afrique de l’Ouest | hypnozoïtes hépatiques | récidive possible sans nouveau voyage | prévention anti-vectorielle et chimioprophylaxie;"Ne pas exclure un accès palustre parce qu’il n’y a pas eu de nouveau voyage ; ne pas confondre goutte épaisse et frottis ; ne pas décider l’hospitalisation uniquement sur l’espèce ou une parasitémie faible.";Très haute;Non vu
CAS_2021_S2_BACT_001;2020-2021;S2;infectio 20-21 ses 2.pdf;Cas clinique à orientation bactériologique;Bactériologie;Méningite bactérienne à méningocoque chez un nourrisson;Méningite bactérienne;Neisseria meningitidis, purpura, LCR bactérien, Gram, sérogroupe C, capsule, déclaration obligatoire, PLP;Enfant de 1 an amené aux urgences pour fièvre à 39°C depuis 48h avec raideur méningée. LCR trouble, 1300 leucocytes/mm3 dont 97% de PNN, hypoglycorachie, hyperprotéinorachie, CRP élevée, hyperleucocytose, puis apparition d’une tache purpurique.;Arguments biologiques de méningite | arguments pour origine bactérienne | germe probable | aspect au Gram | transmission et niche écologique | signification du sérogroupe | implication vaccinale | déclaration obligatoire | mécanisme de sensibilité intermédiaire à l’amoxicilline;Arguments de méningite : pléiocytose et hyperprotéinorachie. Origine bactérienne : LCR trouble, PNN majoritaires, leucocytes élevés, hypoglycorachie. Germe probable : Neisseria meningitidis, méningocoque. Gram : cocci Gram négatif en diplocoques. Transmission interhumaine par gouttelettes, niche oropharynx. Sérogroupe = capsule. Implication majeure : vaccination. Infection à déclaration obligatoire. Sensibilité intermédiaire à l’amoxicilline liée à une modification des PLP, cible des bêta-lactamines.;LCR bactérien = PNN, hypoglycorachie, hyperprotéinorachie | purpura + méningite = méningocoque | cocci Gram négatif en diplocoques | gouttelettes | oropharynx | capsule | vaccination | déclaration obligatoire | PLP;"Ne pas confondre méningocoque et pneumocoque ; ne pas oublier le purpura comme indice majeur ; ne pas attribuer la résistance à une bêta-lactamase alors que le mécanisme attendu est une modification des PLP.";Très haute;Non vu
CAS_2021_S2_VIRO_001;2020-2021;S2;infectio 20-21 ses 2.pdf;Cas clinique à orientation virologique;Virologie;TROD VIH positif avec hépatite B chronique, suspicion VHC et lésion HSV-2;VIH, hépatite B, hépatite C, HSV-2;Dépistage VIH, confirmation, Ag p24, Western blot, déclaration obligatoire, charge virale, VHB chronique, ARN VHC, PCR HSV;Homme de 35 ans originaire d’Asie du Sud-Est, adressé après TROD VIH positif, altération de l’état général avec asthénie et amaigrissement. Bilan IST avec sérologie VHB pathologique, sérologie VHC positive, puis éruption vésiculeuse de la marge anale.;Confirmation du TROD positif | marqueurs détectés par l’examen | confirmation du diagnostic | démarche administrative | suivi virologique VIH | interprétation sérologie VHB | marqueurs complémentaires VHB | suivi virologique VHB | conduite devant sérologie VHC positive | agent probable lésion vésiculeuse | prélèvement | examen de laboratoire;TROD VIH positif à confirmer par sérologie VIH type ELISA. Marqueurs détectés : anticorps VIH-1/VIH-2 et antigène p24. Confirmation : Western blot puis second prélèvement ELISA selon correction. Démarche : déclaration obligatoire. Suivi VIH : charge virale. Profil VHB Ag HBs positif, anti-HBs négatif, anti-HBc positif, IgM anti-HBc négatif avec transaminases élevées : hépatite B chronique probable. Pour VHC positif : demander ARN VHC pour confirmer infection active. Lésion vésiculeuse marge anale : HSV-2 probable, confirmation par écouvillonnage de lésion et PCR.;VIH = ELISA, Ac VIH1/2, Ag p24, confirmation, déclaration obligatoire, charge virale | VHB chronique si Ag HBs+ et IgM anti-HBc- | VHC positif = ARN VHC | HSV-2 = PCR sur écouvillonnage de lésion;"Bien distinguer dépistage, confirmation et suivi ; ne pas conclure infection active VHC sans ARN ; ne pas faire une sérologie HSV pour confirmer une lésion active alors que le prélèvement de lésion avec PCR est attendu.";Très haute;Non vu
CAS_2021_S1_INF_001;2020-2021;S1;infectio 20-21 ses 1.pdf;Maladies infectieuses;Bactériologie;Tuberculose pulmonaire chez une patiente migrante;Tuberculose;Tuberculose maladie, tuberculose latente, diagnostic mycobactériologique, traitement, isolement, dépistage entourage;Femme de 34 ans, originaire du Mali, récemment arrivée en France après un parcours migratoire complexe, consultant pour fièvre à 38,5°C, toux et perte de 10 kg sur deux mois. Suspicion de tuberculose pulmonaire devant le tableau clinique et la radiographie thoracique.;Diagnostics compatibles | éléments prioritaires à l’interrogatoire | lésion radiographique principale | localisations extra-pulmonaires à rechercher | examens diagnostiques | bilan pré-thérapeutique | schéma thérapeutique | mesures d’hygiène | mesures associées | effets indésirables | facteurs de risque | complications non traitées | évolution après traitement | tuberculose latente dans l’entourage | risque de réactivation;correction_participative_a_verifier : le PDF indique que la correction de la partie Maladies infectieuses n’est pas intégrée dans le corrigé final. Correction attendue à vérifier avant usage définitif. Le raisonnement attendu porte sur tuberculose maladie plutôt que tuberculose latente, interrogatoire sur contage, traitement antérieur, VIH et hémoptysie, diagnostic par examens mycobactériologiques des expectorations ou tubages gastriques, bilan pré-thérapeutique avec bilan hépatique, NFS, VIH et test moléculaire de résistance à la rifampicine, traitement initial quadrithérapie puis bithérapie, précautions Air, déclaration obligatoire et dépistage de l’entourage.;Tuberculose maladie | toux fièvre amaigrissement | pays de haute endémie | caverne apicale | BAAR | expectorations/tubages gastriques | culture spécifique | pas de sérologie TB | quadrithérapie initiale | précautions Air | déclaration obligatoire | dépistage entourage | tuberculose latente si Quantiféron positif et radio normale;"Ne pas confondre tuberculose latente et tuberculose maladie ; ne pas utiliser le Quantiféron comme examen diagnostique principal d’une tuberculose maladie ; ne pas oublier l’isolement Air et la déclaration obligatoire ; ne pas traiter une tuberculose maladie par monothérapie.";Très haute;Non vu
CAS_2021_S1_INF_002;2020-2021;S1;infectio 20-21 ses 1.pdf;DP N2 Infectieux;Bactériologie;Dermohypodermite bactérienne du membre inférieur compliquée;Dermohypodermite bactérienne;Streptococcus pyogenes, intertrigo, porte d’entrée, amoxicilline, dermohypodermite nécrosante, urgence chirurgicale;Homme de 80 ans consultant pour fièvre depuis 48h, surpoids et lymphœdème chronique des membres inférieurs. L’examen des jambes évoque une dermohypodermite bactérienne non nécrosante. Une lésion interdigitale du pied est identifiée comme porte d’entrée probable. Le patient ne prend pas les antibiotiques, s’automédique par anti-inflammatoires, puis revient avec douleurs majorées, zones insensibles, crépitations sous-cutanées et syndrome inflammatoire majeur.;Diagnostic initial | germe le plus probable | aspect de Streptococcus pyogenes au Gram | facteurs de risque | identification de la porte d’entrée | étiologie de la lésion du pied | antibiotiques actifs sur Streptococcus pyogenes | traitement initial | durée d’amoxicilline | mécanisme d’action de l’amoxicilline | diagnostic de complication nécrosante | mesures thérapeutiques urgentes | mise à jour vaccinale;correction_a_verifier : le cas n’a pas de correction détaillée individualisée dans le corrigé final visible. Raisonnement attendu : dermohypodermite bactérienne non nécrosante initiale, Streptococcus pyogenes probable, cocci Gram positif en chaînettes, facteurs de risque lymphœdème et obésité, intertrigo/dermatophytie à Trichophyton rubrum comme porte d’entrée possible, traitement par amoxicilline, traitement antifongique local de la porte d’entrée et surélévation. L’aggravation avec douleur, zones insensibles et crépitations évoque une dermohypodermite nécrosante nécessitant antibiothérapie IV et chirurgie urgente.;Dermohypodermite non nécrosante | Streptococcus pyogenes | cocci Gram positif en chaînettes | lymphœdème | obésité | intertrigo interdigital | dermatophyte | amoxicilline | inhibition synthèse peptidoglycane | AINS à éviter | dermohypodermite nécrosante | chirurgie urgente | antibiothérapie IV;"Ne pas confondre DHBNN et DHBN ; ne pas banaliser les douleurs intenses, l’anesthésie cutanée ou les crépitations ; ne pas donner d’AINS ; ne pas attendre l’imagerie si nécrose fortement suspectée ; ne pas oublier de traiter la porte d’entrée mycosique.";Très haute;Non vu
CAS_2021_S1_PARA_001;2020-2021;S1;infectio 20-21 ses 1.pdf;Parasitologie;Parasitologie-Mycologie;Candidémie puis aspergillose pulmonaire invasive chez patient neutropénique;Candidémie et aspergillose invasive;Candida, neutropénie, cathéters, antibiothérapie large spectre, caspofungine, galactomannane, lavage broncho-alvéolaire, voriconazole;Homme de 70 ans hospitalisé en onco-hématologie pour leucémie myéloïde aiguë, traité par chimiothérapie d’induction, neutropénique et porteur de plusieurs cathéters dont un cathéter veineux central. Fièvre persistante malgré antibiothérapie large spectre. Une hémoculture est positive à champignon, orientant vers une candidémie. Après traitement par caspofungine, les hémocultures se négativent mais le patient reste fébrile avec toux, douleurs thoraciques et nodules pulmonaires au scanner, faisant suspecter une aspergillose pulmonaire invasive.;Diagnostic devant hémoculture positive à champignon | bilan d’extension d’une candidémie | facteurs de risque de candidémie | pathologies fréquentes à Candida | caractéristiques des Candida | levures pathogènes | caractéristiques de Candida albicans | traitement d’une candidémie | caspofungine | examens devant aspergillose pulmonaire invasive | marqueurs sériques | coloration de Grocott | espèce d’Aspergillus la plus fréquente | mode de contamination | traitement par voriconazole;"correction_pdf : réponses attendues du bloc parasitologie : Q1 A, Q2 BE, Q3 ABC, Q4 ABE, Q5 D avec A neutralisée, Q6 BD avec A neutralisée, Q7 ABD, Q8 AC, Q9 ABC, Q10 D, Q11 AD, Q12 BE, Q13 A, Q14 A, Q15 ACE. Le cas oppose clairement candidémie et aspergillose invasive : Candida est évoqué par l’hémoculture positive chez neutropénique avec cathéters ; Aspergillus est évoqué secondairement par les signes pulmonaires et nodules au scanner.";Candidémie | hémoculture positive à champignon | cathéter | antibiothérapie large spectre | neutropénie | fond d’œil | échographie cardiaque | Candida albicans | levure | bourgeonnement | caspofungine | échinocandine | ablation cathéter | antifongique systémique | aspergillose invasive | LBA | galactomannane | PCR Aspergillus | Grocott noir | Aspergillus fumigatus | voie aérienne | voriconazole;"Ne pas confondre Candida et Aspergillus ; ne pas chercher le galactomannane pour une candidémie ; ne pas considérer Aspergillus comme responsable habituel d’hémoculture positive ; ne pas confondre caspofungine et voriconazole ; ne pas oublier le retrait des cathéters dans la candidémie.";Très haute;Non vu
CAS_2022_S1_BACT_001;2021-2022;S1;infectio 21-22 ses 1.pdf;DP1;Bactériologie;Cystite simple, pyélonéphrite à E. coli BLSE puis colite à Clostridioides difficile;Infections urinaires et C. difficile;Cystite aiguë simple, ECBU, pyélonéphrite, bacilles Gram négatif, E. coli, BLSE, BMR, carbapénème, diarrhée post-antibiothérapie, C. difficile;Femme de 28 ans consultant initialement pour brûlures mictionnelles sans fièvre ni douleur lombaire, BU positive leucocytes/nitrites, diagnostic de cystite aiguë simple. Quelques mois plus tard, elle présente fièvre, frissons, douleurs lombaires, brûlures mictionnelles et pollakiurie, évoquant une pyélonéphrite. L’ECBU retrouve E. coli producteur de BLSE, puis après traitement par carbapénème, apparition d’une diarrhée évocatrice de Clostridioides difficile.;Prise en charge cystite simple | ECBU de contrôle inutile | règles de réalisation ECBU | diagnostic de pyélonéphrite | bactéries compatibles avec bacilles Gram négatif | germe prioritaire | traitement probabiliste pyélonéphrite | résistances E. coli | BLSE et BMR | recherche toxines C. difficile | spores et SHA | mesures d’hygiène hospitalières;Correction PDF : Q1 C, Q2 BCE, Q3 BDE, Q4 pyélonéphrite, Q5 ABE, Q6 Escherichia coli, Q7 AC, Q8 BC, Q9 BDE, Q10 C, Q11 BDE, Q12 ACDE. Le DP teste la stratégie complète : cystite simple traitée sans ECBU systématique, pyélonéphrite à E. coli, interprétation du Gram et de l’antibiogramme BLSE, puis complication post-antibiothérapie par C. difficile.;Cystite simple = fosfomycine-trométamol | pas d’ECBU de contrôle si guérison | ECBU deuxième jet | pyélonéphrite = fièvre + douleur lombaire + signes urinaires | E. coli prioritaire | bacilles Gram négatif | fluoroquinolones/C3G probabilistes selon contexte | BLSE = résistance C3G | BMR | précautions Contact | C. difficile post-antibiothérapie | toxines selles | spores résistantes SHA | lavage mains savon | chambre individuelle;"Ne pas traiter une bactériurie asymptomatique ; ne pas confondre cystite et pyélonéphrite ; ne pas attribuer toutes les résistances à la BLSE ; ne pas oublier les précautions Contact pour BLSE/C. difficile ; ne pas utiliser uniquement SHA contre les spores.";Très haute;Non vu
CAS_2022_S1_VIRO_001;2021-2022;S1;infectio 21-22 ses 1.pdf;DP2;Virologie;Méningite virale de l’enfant, méningite HSV-2 puis encéphalite herpétique/VZV;Méningites virales et encéphalites;Entérovirus, syndrome main-pied-bouche, méningite virale, HSV-2, récurrence génitale, PCR LCS, encéphalite herpétique, HSV-1, zona ophtalmique, VZV;Enfant de 5 ans avec fièvre, céphalées, vomissements, photophobie et raideur de nuque, avec contexte d’afflux d’enfants similaires et vésicules paumes/plantes/bouche, orientant vers entérovirus. Sa sœur de 19 ans présente plus tard une méningite virale avec brûlures génitales récidivantes évoquant HSV-2. La grand-mère de 70 ans présente ensuite un tableau d’encéphalite avec confusion, trouble du langage, convulsion et lésions vésiculeuses ophtalmiques évocatrices de zona/VZV.;Arguments pour méningite virale | virus responsable main-pied-bouche | caractéristiques entérovirus | orientation HSV-2/VZV | méningite HSV-2 | résultats LCS compatibles | récurrences HSV | encéphalites virales | urgence encéphalite herpétique | zona ophtalmique et VZV;Correction PDF : Q1 BE, Q2 entérovirus / pieds-mains-bouche, Q3 ACDE, Q4 CD, Q5 AC, Q6 BE, Q7 ABCE, Q8 AD, Q9 BCE, Q10 ACE. Le DP est très rentable car il couvre toute la chaîne neurologique virale : méningite virale simple, entérovirus, HSV-2 génital avec méningite, puis encéphalite herpétique et zona/VZV du sujet âgé.;Méningite virale = LCS lymphocytaire + contexte épidémique | entérovirus = main-pied-bouche + transmission féco-orale | méningite simple entérovirus peut éviter traitement spécifique | HSV-2 génital peut donner méningite | PCR HSV-2 LCS | HSV latence ganglions sensitifs | encéphalite herpétique = urgence diagnostique et thérapeutique | HSV-1 à rechercher | zona ophtalmique = traitement | VZV peut compliquer neurologiquement;"Ne pas confondre purpura avec méningite virale ; ne pas attendre de voir des virus en microscopie optique ; ne pas exclure VZV avant 50 ans ; ne pas attendre la PCR pour traiter une encéphalite herpétique suspectée ; ne pas diagnostiquer une encéphalite VZV seulement sur PCR de vésicule.";Très haute;Non vu
CAS_2022_S1_PARA_001;2021-2022;S1;infectio 21-22 ses 1.pdf;DP3;Parasitologie-Mycologie;Accès palustre simple à Plasmodium falciparum au retour du Mali;Paludisme à Plasmodium falciparum;Fièvre retour de zone d’endémie, recherche urgente de paludisme, frottis sanguin, Plasmodium falciparum, critères de gravité, traitement accès simple, prévention voyage;Femme de 45 ans travaillant dans une ONG au Mali, revenue depuis 10 jours, consultant pour diarrhée fébrile. Malgré le symptôme digestif, l’examen urgent attendu est la recherche de paludisme. Le frottis montre Plasmodium falciparum avec 1% de globules rouges parasités par des trophozoïtes jeunes. Le cas teste ensuite la transmission, le cycle, les espèces humaines, la gravité, le traitement oral de l’accès simple et la prévention d’un prochain voyage au Cameroun.;Examen urgent au retour du Mali | caractéristiques de P. falciparum | transmission | espèces humaines de Plasmodium | cycle chez l’homme | traitement accès simple | critères biologiques de gravité | critères cliniques de gravité | traitements possibles sans gravité | prévention du paludisme en voyage;Correction PDF : Q1 C, Q2 ADE, Q3 C, Q4 ACE, Q5 AD, Q6 AC, Q7 ACE, Q8 ACD, Q9 CE, Q10 AD. Le DP insiste sur le réflexe clé : toute fièvre au retour d’une zone d’endémie doit faire rechercher un paludisme en urgence.;Fièvre retour zone endémie = paludisme jusqu’à preuve du contraire | P. falciparum = protozoaire | transmis par moustique/anophèle | globules rouges | phase pré-érythrocytaire asymptomatique | accès simple = urgence thérapeutique mais pas toujours IV | atovaquone-proguanil | artéméther-luméfantrine | gravité : anémie sévère, créatinine élevée, hypoglycémie, trouble conscience, hémorragie, collapsus | prévention = chimioprophylaxie + moustiques;"Ne pas se laisser piéger par la diarrhée et oublier le paludisme ; ne pas confondre phlébotome et moustique ; ne pas attribuer les rechutes de P. vivax/ovale à P. falciparum ; ne pas confondre symptômes banals et critères de gravité ; ne pas proposer prévention alimentaire pour le paludisme.";Très haute;Non vu
CAS_2022_S2_VIRO_001;2021-2022;S2;infectio 21_22 ses 2.pdf;Sous-épreuve virologie - DP;Virologie;HSV-2 génital récidivant, diagnostic VIH, grossesse et AES;HSV-2, VIH, grossesse, AES;Herpès génital récidivant, PCR HSV sur lésion, ELISA VIH 4e génération, Western Blot, déclaration obligatoire, bilan initial VIH, transmission mère-enfant, diagnostic moléculaire nouveau-né, accident d’exposition au sang;Jeune femme de 23 ans originaire du Mali, récemment arrivée en France, consultant pour éruption génitale douloureuse récidivante depuis quatre ans, avec vésicules d’allure herpétique. La PCR HSV-2 est positive. Devant asthénie et adénopathies, un dépistage VIH est réalisé puis confirmé. Une grossesse de 8 semaines est découverte. Le cas se termine par un AES chez un soignant dans le box voisin.;Examen virologique HSV | risque HSV néonatal | dépistage VIH première intention | marqueurs ELISA 4e génération | confirmation VIH et déclaration | bilan initial VIH-1 | période à risque de transmission mère-enfant | diagnostic VIH du nouveau-né | voies de contamination VIH | examens après AES;Correction PDF : Q1 C, Q2 B, Q3 C, Q4 BCD, Q5 CE, Q6 ACE, Q7 accouchement/naissance/périnatale, Q8 C, Q9 ACD, Q10 ACD. Le DP combine un raisonnement de virologie clinique : HSV actif = PCR lésion, VIH = dépistage ELISA puis confirmation et bilan, grossesse = transmission périnatale, nouveau-né = diagnostic moléculaire, AES = évaluation patient source + sérologie soignant.;HSV-2 génital = PCR sur lésion | risque néonatal maximal si primo-infection proche accouchement | VIH = ELISA 4e génération | Ac VIH-1/2 + Ag p24 | prélèvement de contrôle | déclaration obligatoire | charge virale ARN VIH-1 | génotypage résistance | CD4 | transmission VIH sexuelle/sanguine/seringue | nouveau-né = ARN VIH-1 | AES = TROD/ELISA patient source + ELISA soignant;"Ne pas utiliser sérologie HSV pour confirmer une lésion ; ne pas confondre ELISA/Western Blot/charge virale ; ne pas diagnostiquer le nouveau-né par anticorps ; ne pas évoquer moustiques ou voie féco-orale pour VIH ; ne pas demander ARN VIH du soignant en première intention.";Très haute;Non vu
